drivetrain,engine,exterior_color,interior_color,make,mileage,model,model_trim,price,title,transmission,trim,vehicle_mileage,vehicle_type,vin,year
4WD,4.3L V6 12V GDI OHV,Black,Jet Black,Chevrolet,29302,Silverado 1500,Chevrolet Silverado 1500,45000.0,2021 Chevrolet Silverado 1500 Custom Trail Boss,Automatic,Custom Trail Boss,,Pickup Crew Cab,1GCPYCEH2MZ352358,2021
4WD,1.5L I3 12V PDI DOHC Turbo,White,Ebony/Brown,Ford,15934,Bronco Sport,Ford Bronco Sport,37610.0,2021 Ford Bronco Sport Outer Banks,Automatic,Outer Banks,,Sport Utility,3FMCR9C6XMRB12278,2021
4WD,6 Cyl - 3.5 L,Silver,Black,Toyota,19516,Tacoma 4WD,Toyota Tacoma 4WD,39139.0,2021 Toyota Tacoma 4WD SR5,Automatic,SR5,,Crew Cab Pickup,3TMDZ5BNXMM102518,2021
4WD,3.5L V6 24V PDI DOHC,Black,,Toyota,28295,Tacoma 4WD,Toyota Tacoma 4WD,40122.0,2020 Toyota Tacoma 4WD SR5,Automatic,SR5,,Crew Cab Pickup,3TMCZ5AN2LM293217,2020
AWD,2.0L I4 16V GDI DOHC Turbo,Summit White,Jet Black,GMC,40087,Terrain,GMC Terrain,26600.0,2020 GMC Terrain SLT,Automatic,SLT,,Sport Utility,3GKALVEX4LL158481,2020
AWD,3.3L V6 24V GDI DOHC,Gravity Grey,Black,Kia,28597,Sorento,Kia Sorento,28642.0,2020 Kia Sorento S V6,Automatic,S V6,,Sport Utility,5XYPGDA59LG686209,2020
4WD,6.4L V8 16V MPFI OHV,Bright White Clearcoat,Diesel Gray/Black,RAM,29942,2500,RAM 2500,47755.0,2020 RAM 2500 Big Horn,Automatic,Big Horn,,Crew Cab Pickup,3C6UR5DJ6LG244816,2020
4WD,2.3L I4 16V GDI DOHC Turbo,Red,Ebony,Ford,25564,Ranger,Ford Ranger,33526.0,2020 Ford Ranger XLT,Automatic,XLT,,Crew Cab Pickup,1FTER4FH6LLA65079,2020
RWD,5.2L V8 32V MPFI DOHC Supercharged,Black,,Ford,5463,Mustang,Ford Mustang,90000.0,2020 Ford Mustang Shelby GT500,Automatic,Shelby GT500,,2dr Car,1FA6P8SJ9L5504084,2020
AWD,2.0L I4 16V GDI DOHC Turbo,Black,Pearl Beige,Audi,77010,A6,Audi A6,32883.0,2020 Audi A6 Premium Plus,Automatic,Premium Plus,,4dr Car,WAUE8AF25LN004532,2020
AWD,2.4L I4 16V GDI DOHC,Gemstone Red,Black,Hyundai,16289,Tucson,Hyundai Tucson,25737.0,2020 Hyundai Tucson SEL,Automatic,SEL,,Sport Utility,KM8J3CAL5LU206297,2020
4WD,6.7L I6 24V DDI OHV Turbo Diesel,Diamond Black Crystal Pearlcoat,Black,RAM,45222,2500,RAM 2500,55861.0,2020 RAM 2500 Big Horn,Automatic,Big Horn,,Crew Cab Pickup,3C6UR5DL3LG285762,2020
FWD,1.8L I4 16V MPFI DOHC,Blue,,Toyota,18914,Corolla,Toyota Corolla,23091.0,2020 Toyota Corolla LE,Variable,LE,,4dr Car,5YFEPRAE5LP013577,2020
FWD,2.5L I4 16V PDI DOHC,Gray,,Toyota,17790,Camry,Toyota Camry,25885.0,2020 Toyota Camry LE,Automatic,LE,,4dr Car,4T1C11AK6LU858453,2020
AWD,2.4L I4 16V GDI DOHC,Calypso Red,Black/Black,Hyundai,26422,Santa Fe,Hyundai Santa Fe,29600.0,2020 Hyundai Santa Fe SEL,Automatic,SEL,,Sport Utility,5NMS3CAD5LH203697,2020
FWD,1.8L I4 16V MPFI DOHC,Silver,,Toyota,11566,Corolla,Toyota Corolla,23513.0,2020 Toyota Corolla LE,Variable,LE,,4dr Car,5YFEPRAE3LP029776,2020
4WD,6.6L V8 32V DDI OHV Turbo Diesel,Summit White,Jet Black,GMC,48269,Sierra 2500HD,GMC Sierra 2500HD,67958.0,2020 GMC Sierra 2500HD SLT,Automatic,SLT,,Pickup Crew Cab,1GT49NEY8LF123839,2020
AWD,2.4L I4 16V GDI DOHC,Cream White Pearl,Beige,Hyundai,32399,Tucson,Hyundai Tucson,28552.0,2020 Hyundai Tucson Limited,Automatic,Limited,,Sport Utility,KM8J3CAL7LU075972,2020
4WD,4.0L V6 24V MPFI DOHC,Red,,Toyota,23774,4Runner,Toyota 4Runner,41275.0,2020 Toyota 4Runner SR5,Automatic,SR5,,Sport Utility,JTEBU5JR6L5747242,2020
AWD,2.0L I4 16V GDI DOHC Turbo,Symphony Silver,Black/Black,Hyundai,6998,Santa Fe,Hyundai Santa Fe,33610.0,2020 Hyundai Santa Fe SEL,Automatic,SEL,,Sport Utility,5NMS3CAA2LH138118,2020
FWD,2.4L I4 16V GDI DOHC,Gravity Grey,Black,Kia,32604,Optima,Kia Optima,21295.0,2020 Kia Optima LX,Automatic,LX,,4dr Car,5XXGT4L39LG398184,2020
AWD,2.4L I4 16V GDI DOHC,Rainforest,Black/Black,Hyundai,41697,Santa Fe,Hyundai Santa Fe,27632.0,2020 Hyundai Santa Fe SEL,Automatic,SEL,,Sport Utility,5NMS3CADXLH182913,2020
FWD,2.0L I4 16V MPFI DOHC,Scarlet Red Pearl,Gray,Hyundai,22412,Elantra,Hyundai Elantra,22722.0,2020 Hyundai Elantra Limited,Variable,Limited,,4dr Car,KMHD84LF5LU982487,2020
4WD,6.7L V8 32V DDI OHV Turbo Diesel,Black,,Ford,31732,Super Duty F-350 SRW,Ford Super Duty F-350 SRW,84000.0,2020 Ford Super Duty F-350 SRW Limited,Automatic,Limited,,Crew Cab Pickup,1FT8W3BT7LEE65019,2020
4WD,3.5L V6 24V PDI DOHC,Gray,,Toyota,29369,Tacoma 4WD,Toyota Tacoma 4WD,39805.0,2020 Toyota Tacoma 4WD TRD Sport,Automatic,TRD Sport,,Crew Cab Pickup,5TFCZ5AN7LX232116,2020
4WD,5.0L V8 32V PDI DOHC,Blue,Black,Ford,54726,F-150,Ford F-150,44129.0,2020 Ford F-150 LARIAT,Automatic,LARIAT,,Crew Cab Pickup,1FTEW1E5XLFC37661,2020
FWD,2.0L I4 16V PDI DOHC,White,,Toyota,15721,Corolla Hatchback,Toyota Corolla Hatchback,26000.0,2020 Toyota Corolla Hatchback SE,Variable,SE,,Hatchback,JTND4RBE7L3074680,2020
4WD,3.6L V6 24V MPFI DOHC,Sting-Gray Clearcoat,Black,Jeep,22749,Grand Cherokee,Jeep Grand Cherokee,39000.0,2020 Jeep Grand Cherokee Altitude,Automatic,Altitude,,Sport Utility,1C4RJFAG9LC358641,2020
FWD,2.0L I4 16V GDI DOHC Turbo,Black,Titan Black,Volkswagen,26507,Golf GTI,Volkswagen Golf GTI,28441.0,2020 Volkswagen Golf GTI 2.0T SE,Automatic,2.0T SE,,Hatchback,3VW6T7AU6LM007240,2020
AWD,3.8L V6 24V GDI DOHC,Gravity Grey,Gray,Kia,18573,Telluride,Kia Telluride,43429.0,2020 Kia Telluride EX,Automatic,EX,,Sport Utility,5XYP3DHC2LG034239,2020
4WD,2.7L V6 24V PDI DOHC Twin Turbo,Silver,Gray,Ford,27418,F-150,Ford F-150,39208.0,2020 Ford F-150 XL,Automatic,XL,,Crew Cab Pickup,1FTEW1EP9LFB17240,2020
FWD,1.6L I4 16V PDI DOHC Turbo,Portofino Gray,Black,Hyundai,20732,Sonata,Hyundai Sonata,28257.0,2020 Hyundai Sonata SEL Plus,Automatic,SEL Plus,,4dr Car,5NPEJ4J23LH040204,2020
AWD,4 Cyl - 2.5 L,Snowflake White Pearl Mica,Parchment,Mazda,16376,Mazda CX-5,Mazda Mazda CX-5,0.0,2020 Mazda CX-5 Grand Touring Reserve,Automatic,Grand Touring Reserve,,Sport Utility,JM3KFBAY2L0867905,2020
AWD,2.0L I4 16V GDI DOHC Turbo,Burgundy,Cappuccino,Lincoln,31008,Nautilus,Lincoln Nautilus,35811.0,2019 Lincoln Nautilus Reserve,Automatic,Reserve,,Sport Utility,2LMPJ8L93KBL11783,2019
AWD,2.4L I4 16V GDI DOHC,Black Noir Pearl,Black,Hyundai,87725,Tucson,Hyundai Tucson,20000.0,2019 Hyundai Tucson SEL,Automatic,SEL,,Sport Utility,KM8J3CAL4KU028090,2019
FWD,2.5L I4 16V PDI DOHC,White,,Toyota,34460,RAV4,Toyota RAV4,33479.0,2019 Toyota RAV4 XLE Premium,Automatic,XLE Premium,,Sport Utility,2T3C1RFV3KW046759,2019
AWD,2.4L I4 16V GDI DOHC,Dusk Blue,Black,Hyundai,93852,Tucson,Hyundai Tucson,20115.0,2019 Hyundai Tucson SEL,Automatic,SEL,,Sport Utility,KM8J3CAL9KU060792,2019
AWD,2.5L I4 16V PDI DOHC,Red,Black,Toyota,45413,RAV4,Toyota RAV4,33000.0,2019 Toyota RAV4 Adventure,Automatic,Adventure,,Sport Utility,2T3J1RFV5KW021854,2019
AWD,2.5L I4 16V PDI DOHC,Red,,Toyota,35053,RAV4,Toyota RAV4,33776.0,2019 Toyota RAV4 Limited,Automatic,Limited,,Sport Utility,JTMN1RFV8KD034175,2019
4WD,5.7L V8 16V MPFI OHV,Granite Crystal Metallic Clearcoat,Black/Dark Sienna Brown,Jeep,54468,Grand Cherokee,Jeep Grand Cherokee,37243.0,2019 Jeep Grand Cherokee Summit,Automatic,Summit,,Sport Utility,1C4RJFJT8KC610116,2019
AWD,V6,Tan,Brogue / Ebony,Jaguar,43685,F-PACE,Jaguar F-PACE,43500.0,2019 Jaguar F-PACE S,Automatic,S,,Sport Utility,SADCM2FV0KA610790,2019
4WD,4.0L V6 24V MPFI DOHC,Black,,Toyota,107490,4Runner,Toyota 4Runner,37934.0,2019 Toyota 4Runner SR5 Premium,Automatic,SR5 Premium,,Sport Utility,JTEBU5JR3K5663118,2019
AWD,3.5L V6 24V PDI DOHC,White,,Toyota,29248,Highlander,Toyota Highlander,35211.0,2019 Toyota Highlander XLE,Automatic,XLE,,Sport Utility,5TDJZRFH2KS584851,2019
AWD,2.0L I4 16V GDI DOHC Turbo,White,Beige,Mercedes-Benz,45794,GLC,Mercedes-Benz GLC,32575.0,2019 Mercedes-Benz GLC 300,Automatic,GLC 300,,Sport Utility,WDC0G4KB3KF659038,2019
AWD,3.5L V6 24V PDI DOHC,Green,,Toyota,40236,Highlander,Toyota Highlander,30000.0,2019 Toyota Highlander LE,Automatic,LE,,Sport Utility,5TDBZRFH3KS724605,2019
AWD,2.5L I4 16V PDI DOHC,Gray,,Toyota,23996,RAV4,Toyota RAV4,34481.0,2019 Toyota RAV4 Limited,Automatic,Limited,,Sport Utility,2T3N1RFV1KW053119,2019
4WD,3.6L V6 24V MPFI DOHC,Black Clearcoat,Black,Jeep,59314,Wrangler Unlimited,Jeep Wrangler Unlimited,36000.0,2019 Jeep Wrangler Unlimited Sahara,Automatic,Sahara,,Convertible,1C4HJXEG8KW589104,2019
4WD,2.7L V6 24V PDI DOHC Twin Turbo,Black,Black,Ford,33780,F-150,Ford F-150,37663.0,2019 Ford F-150 XL,Automatic,XL,,Crew Cab Pickup,1FTEW1EP4KFB41993,2019
AWD,1.8L I4 16V MPFI DOHC Hybrid,White,Black,Toyota,35266,Prius,Toyota Prius,28397.0,2019 Toyota Prius LE,Variable,LE,,Hatchback,JTDL9RFU2K3000133,2019
AWD,2.0L I4 16V GDI DOHC,Dusk Blue,Black,Hyundai,65026,Tucson,Hyundai Tucson,21317.0,2019 Hyundai Tucson SE,Automatic,SE,,Sport Utility,KM8J2CA45KU044889,2019
4WD,5.7L V8 16V MPFI OHV,Granite Crystal Metallic Clearcoat,Black,RAM,34949,1500,RAM 1500,49710.0,2019 RAM 1500 Limited,Automatic,Limited,,Crew Cab Pickup,1C6SRFHT8KN773893,2019
4WD,2.0L I4 16V GDI DOHC Turbo,Bikini Pearlcoat,Black,Jeep,43643,Wrangler Unlimited,Jeep Wrangler Unlimited,37836.0,2019 Jeep Wrangler Unlimited Sahara,Automatic,Sahara,,Convertible,1C4HJXEN8KW620639,2019
4WD,2.3L I4 16V GDI DOHC Turbo,Black,Ebony,Ford,21334,Ranger,Ford Ranger,34237.0,2019 Ford Ranger XL,Automatic,XL,,Crew Cab Pickup,1FTER4FH4KLB04296,2019
AWD,2.0L H4 16V GDI DOHC Turbo,Dark Gray Metallic,Carbon Black,Subaru,88698,WRX,Subaru WRX,26287.0,2019 Subaru WRX,Manual,Base,,4dr Car,JF1VA1A69K9802868,2019
AWD,2.5L I4 16V PDI DOHC,Black,,Toyota,40224,RAV4,Toyota RAV4,30629.0,2019 Toyota RAV4 XLE,Automatic,XLE,,Sport Utility,JTMP1RFV7KD029879,2019
FWD,3.5L V6 24V PDI DOHC,Maroon,,Toyota,68967,Avalon,Toyota Avalon,31225.0,2019 Toyota Avalon Touring,Automatic,Touring,,4dr Car,4T1BZ1FB8KU027158,2019
AWD,2.5L I5 20V PDI DOHC Turbo,Black,Black / Gray,Audi,24834,RS 3,Audi RS 3,59515.0,2019 Audi RS 3 2.5T,Automatic,2.5T,,4dr Car,WUABWGFF5KA906026,2019
4WD,2.7L I4 16V MPFI DOHC,White,,Toyota,14990,Tacoma 4WD,Toyota Tacoma 4WD,30703.0,2019 Toyota Tacoma 4WD SR,Automatic,SR,,Extended Cab Pickup,5TFSX5EN9KX069835,2019
AWD,1.5L I4 16V GDI DOHC Turbo,Nightfall Gray Metallic,Medium Ash Gray,Chevrolet,43228,Equinox,Chevrolet Equinox,22108.0,2019 Chevrolet Equinox LS,Automatic,LS,,Sport Utility,3GNAXSEV9KL126998,2019
AWD,2.0L I4 16V GDI DOHC Turbo,Red,Black,Volkswagen,43664,Tiguan,Volkswagen Tiguan,26000.0,2019 Volkswagen Tiguan SE,Automatic,SE,,Sport Utility,3VV2B7AX0KM068209,2019
4WD,5.0L V8 32V PDI DOHC,Red,Black,Ford,40522,F-150,Ford F-150,40431.0,2019 Ford F-150 XLT,Automatic,XLT,,Extended Cab Pickup,1FTFX1E50KKE87501,2019
4WD,3.5L V6 24V MPFI DOHC,Silver,Ebony Black,Ford,29017,Explorer,Ford Explorer,33622.0,2019 Ford Explorer XLT,Automatic,XLT,,Sport Utility,1FM5K8D85KGA94381,2019
AWD,2.5L I4 16V PDI DOHC,Black,,Toyota,24605,RAV4,Toyota RAV4,34394.0,2019 Toyota RAV4 XLE Premium,Automatic,XLE Premium,,Sport Utility,2T3A1RFV4KC029221,2019
AWD,2.4L I4 16V GDI DOHC,White,,Honda,19050,CR-V,Honda CR-V,26865.0,2019 Honda CR-V LX,Variable,LX,,Sport Utility,2HKRW6H37KH219633,2019
AWD,2.5L I4 16V PDI DOHC,Gray,,Toyota,35740,RAV4,Toyota RAV4,33712.0,2019 Toyota RAV4 XLE Premium,Automatic,XLE Premium,,Sport Utility,2T3A1RFV7KC041346,2019
FWD,1.4L I4 16V GDI DOHC Turbo,White,Black,Volkswagen,54231,Jetta,Volkswagen Jetta,21475.0,2019 Volkswagen Jetta SEL,Automatic,SEL,,4dr Car,3VWE57BU5KM039017,2019
4WD,4.0L V6 24V MPFI DOHC,Gray,Black,Toyota,59190,4Runner,Toyota 4Runner,38569.0,2019 Toyota 4Runner TRD Off Road,Automatic,TRD Off Road,,Sport Utility,JTEBU5JR6K5670077,2019
4WD,5.6L V8 32V GDI DOHC,Magnetic Black Metallic,Black,Nissan,34170,Titan XD,Nissan Titan XD,41899.0,2019 Nissan Titan XD SL,Automatic,SL,,Crew Cab Pickup,1N6AA1F43KN519676,2019
4WD,2.7L I4 16V GDI DOHC Turbo,Satin Steel Metallic,Jet Black,Chevrolet,30443,Silverado 1500,Chevrolet Silverado 1500,40735.0,2019 Chevrolet Silverado 1500 RST,Automatic,RST,,Pickup Crew Cab,3GCPYEEK6KG259587,2019
4WD,1.5L I4 16V GDI DOHC Turbo,Blue,Charcoal Black,Ford,6638,Escape,Ford Escape,25790.0,2019 Ford Escape SE,Automatic,SE,,Sport Utility,1FMCU9GD9KUB73554,2019
AWD,2.5L I4 16V PDI DOHC,Gray,,Toyota,52307,RAV4,Toyota RAV4,27334.0,2019 Toyota RAV4 LE,Automatic,LE,,Sport Utility,2T3F1RFV8KC043421,2019
AWD,2.4L I4 16V GDI DOHC,Dragon Brown,Stone Beige,Kia,98980,Sorento,Kia Sorento,22438.0,2019 Kia Sorento LX,Automatic,LX,,Sport Utility,5XYPGDA35KG512358,2019
RWD,5.0L V8 32V PDI DOHC,Black,Black,Ford,20336,Mustang,Ford Mustang,41208.0,2019 Ford Mustang GT Premium,Manual,GT Premium,,2dr Car,1FA6P8CFXK5198750,2019
AWD,3.5L V6 24V PDI DOHC,Silver,,Toyota,50753,Highlander,Toyota Highlander,35866.0,2019 Toyota Highlander XLE,Automatic,XLE,,Sport Utility,5TDJZRFH1KS956826,2019
AWD,2.0L I4 16V GDI DOHC,Black Noir Pearl,Gray,Hyundai,27261,Tucson,Hyundai Tucson,23904.0,2019 Hyundai Tucson SE,Automatic,SE,,Sport Utility,KM8J2CA41KU013008,2019
FWD,2.0L I4 16V MPFI DOHC,Scarlet Red,Beige,Hyundai,43419,Elantra,Hyundai Elantra,18221.0,2019 Hyundai Elantra SE,Automatic,SE,,4dr Car,KMHD74LF4KU850953,2019
4WD,2.4L I4 16V MPFI SOHC,White Clearcoat,Black,Jeep,72825,Compass,Jeep Compass,20000.0,2019 Jeep Compass Sport,Automatic,Sport,,Sport Utility,3C4NJDAB1KT683665,2019
4WD,2.7L I4 16V MPFI DOHC,Red,,Toyota,13559,Tacoma 4WD,Toyota Tacoma 4WD,30409.0,2019 Toyota Tacoma 4WD SR,Automatic,SR,,Extended Cab Pickup,5TFSX5EN2KX067022,2019
AWD,2.0L I4 16V GDI DOHC,White,,Volvo,17759,XC60,Volvo XC60,39444.0,2019 Volvo XC60 Momentum,Automatic,Momentum,,Sport Utility,YV4A22RK5K1343718,2019
FWD,1.4L I4 16V GDI DOHC Turbo,Red,Black,Volkswagen,47558,Jetta,Volkswagen Jetta,19859.0,2019 Volkswagen Jetta S,Automatic,S,,4dr Car,3VWC57BU9KM053333,2019
FWD,2.4L I4 16V GDI DOHC,Phantom Black,Gray,Hyundai,26056,Sonata,Hyundai Sonata,21740.0,2019 Hyundai Sonata SE,Automatic,SE,,4dr Car,5NPE24AF5KH817836,2019
